region,year,gdp_new,veh,emissions,gascons,gascpi,pop,unemprate,partrate,emprate,realgdp,rgdp,canada,employment_mogas,emp_tot
Alabama,2017,216615.5,2021395,109.4015579,2146018,2.178999901,4741.399902,4.400000095,NA,NA,NA,1.132812023,0,10433,2649261
Alaska,1998,40263.7,NA,43.37278748,367233,1.093000054,NA,6.300000191,NA,NA,NA,-2.599954605,0,NA,NA
Alaska,1999,39783.1,NA,44.00780487,384615,1.200999975,NA,6.5,NA,NA,NA,-1.091700912,0,NA,NA
Alaska,2000,38428.1,NA,44.56811142,386317,1.511999965,NA,6.400000095,NA,NA,NA,-2.994493484,0,NA,NA
Alaska,2001,40014.4,NA,43.74602509,372804,1.449000001,NA,6.400000095,NA,NA,NA,3.672270775,0,11675,394566
Alaska,2002,41904.7,NA,43.9017601,356688,1.355000019,NA,7.300000191,NA,NA,NA,4.622158051,0,11675,402188
Alaska,2003,41235,NA,43.92696381,339940,1.565999985,648.414,7.800000191,NA,NA,NA,-1.82473588,0,11210,405622
Alaska,2004,42880.1,NA,47.19499588,406905,1.845999956,NA,7.5,NA,NA,NA,3.844045162,0,10995,413865
Alaska,2005,44406.8,NA,48.46741104,405840,2.265000105,NA,6.900000095,NA,NA,NA,2.999613762,0,11574,421420
Alaska,2006,47546.2,NA,46.22151184,404893,2.555999994,NA,6.599999905,NA,NA,NA,7.708472252,0,13491,431321
Alaska,2007,50126.7,238229,44.46031189,382407,2.796999931,680.3,6.300000191,NA,NA,NA,5.367903709,0,15830,439826
Alaska,2008,49926.6,239938,39.87477493,348990,3.213999987,654.7000122,6.699999809,NA,NA,NA,-0.4946816862,0,17387,443539
Alaska,2009,54951.9,NA,38.17158508,331528,2.286000013,668.9000244,7.699999809,NA,NA,NA,9.863433838,0,16942,442448
Alaska,2010,53652,225656,39.0366745,353249,2.76699996,684.5999756,7.900000095,NA,NA,NA,-3.025544405,0,17783,443905
Alaska,2011,54045.5,211157,38.86979294,356918,3.420000076,697.0999756,7.599999905,NA,NA,NA,0.9288256764,0,18288,450365
Alaska,2012,57087.4,189301,38.39255905,346302,3.503999949,706.2000122,7.099999905,NA,NA,NA,5.472876072,0,21644,459223
Alaska,2013,54627.6,197242,36.2165451,320349,3.428999901,705.0999756,7,NA,NA,NA,-5.144713402,0,21154,461111
Alaska,2014,53303.3,191706,35.21836472,309256,3.335000038,706.5999756,6.900000095,NA,NA,NA,-2.31514883,0,21558,461328
Alaska,2015,53681.1,188848,36.32167053,325414,2.407999992,707.5,6.5,NA,NA,NA,0.9998018146,0,21131,461650
Alaska,2016,53463.9,178860,34.99422836,304123,2.125999928,714.9000244,6.900000095,NA,NA,NA,-1.344619036,0,18651,457525
Alaska,2017,53550.9,169412,34.51663589,296113,2.407000065,710.0999756,7,NA,NA,NA,-0.8690348864,0,17186,455473
Arizona,1998,197492.1,NA,77.11979675,1319777,1.093000054,NA,4.300000191,NA,NA,NA,8.677976608,0,NA,NA
Arizona,1999,214293.9,NA,81.15594482,1370366,1.200999975,NA,4.400000095,NA,NA,NA,8.207625389,0,NA,NA
Arizona,2000,224729.3,NA,86.71710205,1446083,1.511999965,NA,4,NA,NA,NA,4.93565464,0,NA,NA
Arizona,2001,230885.6,NA,89.22992706,1465790,1.449000001,NA,4.800000191,NA,NA,NA,2.345568419,0,12920,2829003
Arizona,2002,238257.1,NA,88.62531281,1494526,1.355000019,NA,6.099999905,NA,NA,NA,3.161134958,0,11663,2847096
Arizona,2003,253743.1,NA,90.45700836,1503615,1.565999985,5510.364,5.699999809,NA,NA,NA,6.367631912,0,11718,2917122
Arizona,2004,264990,NA,97.78453827,1622379,1.845999956,NA,5,NA,NA,NA,4.222824097,0,11604,3041477
Arizona,2005,283806.2,NA,97.65616608,1602069,2.265000105,NA,4.699999809,NA,NA,NA,8.164187431,0,12509,3219821
Arizona,2006,296424.4,NA,100.9447784,1628987,2.555999994,NA,4.199999809,NA,NA,NA,5.376105309,0,13699,3375219
Arizona,2007,306611.6,2219959,102.797699,1693596,2.796999931,6167.681,3.900000095,NA,NA,NA,2.750000954,0,16209,3465076
Arizona,2008,302277.9,2217098,103.2598343,1720327,3.213999987,6363,6.199999809,NA,NA,NA,-2.617202759,0,19115,3402809
Arizona,2009,277412.4,NA,94.20014954,1612687,2.286000013,6457.899902,9.899999619,NA,NA,NA,-8.094495773,0,16521,3228494
Arizona,2010,282252.5,2183077,95.95813751,1628251,2.76699996,6256.899902,10.39999962,NA,NA,NA,0.9768272042,0,17977,3181572
Arizona,2011,290411.3,2333503,93.96627045,1594912,3.420000076,6324.5,9.5,NA,NA,NA,2.232816219,0,17699,3239046
Arizona,2012,297077.3,2101007,92.10253906,1594897,3.503999949,6386.299805,8.300000191,NA,NA,NA,1.871256113,0,22559,3295538
Arizona,2013,298859.9,2234532,95.69556427,1629858,3.428999901,6465.700195,7.699999809,NA,NA,NA,0.7084764242,0,23099,3371220
Arizona,2014,301721.2,2298039,93.62857056,1608751,3.335000038,6556.200195,6.800000191,NA,NA,NA,1.53555572,0,22310,3448174
Arizona,2015,308582.8,2311630,91.31230164,1613062,2.407999992,6655.100098,6.099999905,NA,NA,NA,2.853824139,0,22500,3547628
Arizona,2016,319008.4,2357093,87.29653931,1584189,2.125999928,6760.899902,5.400000095,NA,NA,NA,3.307138205,0,22710,3645937
Arizona,2017,333099,2371199,86.33260345,1556235,2.407000065,6841.299805,4.900000095,NA,NA,NA,3.728014469,0,21429,3740961
Arkansas,1998,89905.3,NA,61.34780502,1005554,1.014999986,NA,5.199999809,NA,NA,NA,2.453951359,0,NA,NA
Arkansas,1999,94756.9,NA,63.69000244,1040826,1.110999942,NA,4.599999905,NA,NA,NA,5.363993645,0,NA,NA
Arkansas,2000,95509.8,NA,64.02103424,1038339,1.473999977,NA,4.300000191,NA,NA,NA,0.9902674556,0,NA,NA
Arkansas,2001,95528.7,NA,63.31532288,1033837,1.417999983,NA,5,NA,NA,NA,-0.1587157398,0,7052,1482588
Arkansas,2002,98556.6,NA,61.86693573,1043770,1.335000038,NA,5.5,NA,NA,NA,3.228538752,0,6417,1478930
Arkansas,2003,102948,NA,62.53814697,1058496,1.519000053,2724.816,5.900000095,NA,NA,NA,4.005729675,0,7173,1482036
Arkansas,2004,108581.8,NA,63.09708023,1036184,1.802000046,NA,5.699999809,NA,NA,NA,4.632514954,0,7047,1505096
Arkansas,2005,112451.1,NA,60.66215134,1002993,2.217999935,NA,5.199999809,NA,NA,NA,3.5220294,0,7405,1537681
Arkansas,2006,114890.4,NA,62.58036804,1054263,2.51699996,NA,5.199999809,NA,NA,NA,2.219865561,0,8843,1567683
Arkansas,2007,114026.7,934397,63.86979294,1071929,2.785000086,2848.65,5.300000191,NA,NA,NA,-0.7579089999,0,11243,1582859
Arkansas,2008,113628,947554,64.77152252,1055413,3.190999985,2769.699951,5.5,NA,NA,NA,-0.3286833465,0,14801,1579284
Arkansas,2009,109833.1,NA,61.99010468,1036312,2.308000088,2796.100098,7.800000191,NA,NA,NA,-3.21903038,0,14776,1542945
Arkansas,2010,113000.9,935217,66.2436676,1113638,2.743999958,2834,8.199999809,NA,NA,NA,2.643651724,0,16782,1541273
Arkansas,2011,115241.8,1007544,67.66175842,1126191,3.496000051,2849.5,8.300000191,NA,NA,NA,1.992898941,0,15826,1561949
Arkansas,2012,116616.2,840272,66.55088043,1123662,3.565999985,2860.199951,7.599999905,NA,NA,NA,0.371037811,0,18605,1565143
Arkansas,2013,119842.8,822009,68.81020355,1110386,3.467999935,2868.600098,7.199999809,NA,NA,NA,2.397538662,0,18088,1569250
Arkansas,2014,121409.4,954536,69.36053467,1140272,3.302999973,2880,6,NA,NA,NA,1.295087814,0,17111,1587415
Arkansas,2015,121532.5,931252,59.48019409,1029822,2.338999987,2882.300049,5,NA,NA,NA,1.082073808,0,16751,1610806
Arkansas,2016,123034.9,929740,62.58333969,1074352,2.055999994,2895.399902,4,NA,NA,NA,0.488317132,0,15756,1629498
Arkansas,2017,123882.6,914265,64.47711182,1090486,2.311000109,2910,3.700000048,NA,NA,NA,1.286716819,0,13236,1640412
California,1998,1538612.3,NA,358.7996216,5912347,1.014999986,NA,5.900000095,NA,NA,NA,6.582550049,0,NA,NA
California,1999,1655438.5,NA,362.9440613,5985513,1.110999942,NA,5.199999809,NA,NA,NA,7.663040161,0,NA,NA
California,2000,1784320.6,NA,378.2935791,6255476,1.473999977,NA,4.900000095,NA,NA,NA,7.974785328,0,NA,NA
California,2001,1784567.7,NA,383.4244995,6257537,1.631999969,NA,5.400000095,NA,NA,NA,-0.1419077665,0,38073,19341459
California,2002,1821509.5,NA,381.7532043,6211379,1.514000058,NA,6.699999809,NA,NA,NA,2.351100206,0,33443,19358165
California,2003,1895287.6,NA,370.305542,6059326,1.83099997,35253.159,6.800000191,NA,NA,NA,4.698776722,0,35916,19478672
California,2004,1956745.5,NA,389.3539124,6307732,2.119999886,NA,6.199999809,NA,NA,NA,4.004484653,0,34382,19784146
California,2005,2042141,NA,385.7221069,6298293,2.47300005,NA,5.400000095,NA,NA,NA,4.530029774,0,36329,20126878
California,2006,2120435.4,NA,394.651947,6337059,2.809000015,NA,4.900000095,NA,NA,NA,4.200536251,0,40642,20505188
California,2007,2168940.4,19828580,399.2501526,6491267,3.076999903,36250.311,5.400000095,NA,NA,NA,1.48342824,0,46013,20888397
California,2008,2192331.8,19705643,383.4813843,6235614,3.512000084,35882,7.300000191,NA,NA,NA,0.3604967594,0,54953,20654293
California,2009,2110679.4,NA,369.6766968,6009350,2.677999973,36094.80078,11.19999981,NA,NA,NA,-4.025540352,0,52329,19837629
California,2010,2153852.8,17765625,363.4760132,5931027,3.09100008,36515.69922,12.19999981,NA,NA,NA,1.548019648,0,60322,19642445
California,2011,2192887.2,14393047,349.0853882,5802217,3.816999912,36862.80078,11.69999981,NA,NA,NA,1.645433068,0,54716,19986022
California,2012,2255437.3,12999038,354.3158875,5761424,4.03399992,37221.5,10.39999962,NA,NA,NA,2.546961069,0,68876,20666909
California,2013,2340335.3,13597778,356.1362305,5787809,3.885999918,37511.30078,8.899999619,NA,NA,NA,3.522282839,0,69888,21319996
California,2014,2428675.7,13789501,353.0588684,5721240,3.744999886,37981.60156,7.5,NA,NA,NA,4.357553005,0,64360,21997099
California,2015,2545979.5,14232593,360.6264343,5840001,3.16899991,38325.10156,6.199999809,NA,NA,NA,5.225319386,0,63467,22687197
California,2016,2623711.7,14526096,360.6737976,5793154,2.726999998,38442.39844,5.5,NA,NA,NA,3.354714394,0,60355,23164908
California,2017,2740550.3,14615499,362.1027222,5790139,3.023000002,38713.89844,4.800000191,NA,NA,NA,4.334069252,0,49184,23538610
Colorado,1998,206449.1,NA,78.37597656,1054643,1.093000054,NA,3.599999905,NA,NA,NA,8.96667099,0,NA,NA
Colorado,1999,221040.8,NA,80.37779999,1058271,1.200999975,NA,3.099999905,NA,NA,NA,7.513322353,0,NA,NA
Colorado,2000,238739.3,NA,85.29587555,1144480,1.511999965,NA,2.799999952,NA,NA,NA,7.723167419,0,NA,NA
Colorado,2001,242650.1,NA,93.64733124,1260230,1.449000001,NA,3.799999952,NA,NA,NA,1.49399507,0,22862,2941584
Colorado,2002,243701.9,NA,91.81983948,1221327,1.355000019,NA,5.5,NA,NA,NA,0.2363838106,0,21910,2916942
Colorado,2003,246017.4,NA,91.16387177,1224879,1.565999985,4528.732,6,NA,NA,NA,0.833624661,0,24424,2908620
Colorado,2004,250069.3,NA,94.38467407,1255109,1.845999956,NA,5.5,NA,NA,NA,0.9968439341,0,24277,2958380
Colorado,2005,261992.9,NA,96.42214966,1277499,2.265000105,NA,5,NA,NA,NA,4.162882328,0,27342,3036667
Colorado,2006,268190.8,NA,97.50078583,1279159,2.555999994,NA,4.300000191,NA,NA,NA,1.944388986,0,32506,3109369
Colorado,2007,278733.8,774558,100.0575562,1337766,2.796999931,4803.868,3.700000048,NA,NA,NA,3.323141575,0,39127,3217962
Colorado,2008,281803.3,724053,98.14157867,1296113,3.213999987,4816.700195,4.800000191,NA,NA,NA,1.247012734,0,48038,3251098
Colorado,2009,275659.1,NA,93.87276459,1234450,2.286000013,4891,7.300000191,NA,NA,NA,-2.053104639,0,43328,3164427
Colorado,2010,279385.6,1879958,96.15270233,1259416,2.76699996,4916.200195,8.699999809,NA,NA,NA,1.08815217,0,48729,3143638
Colorado,2011,283963.8,1774651,92.3658371,1179393,3.420000076,4983.899902,8.399999619,NA,NA,NA,1.218946338,0,48134,3204079
Colorado,2012,289339.5,1728413,91.44815826,1160303,3.503999949,5045.899902,7.900000095,NA,NA,NA,1.876907945,0,60098,3262926
Colorado,2013,301484.1,1800225,91.79307556,1200062,3.428999901,5130.200195,6.900000095,NA,NA,NA,3.293787003,0,62774,3356176
Colorado,2014,315399,1786643,92.33143616,1212233,3.335000038,5217,5,NA,NA,NA,4.319272041,0,64832,3467520
Colorado,2015,330526.1,1807666,91.00376129,1191711,2.407999992,5315.399902,3.900000095,NA,NA,NA,4.778265476,0,64017,3574244
Colorado,2016,337685.2,1790622,87.55382538,1179730,2.125999928,5398.100098,3.200000048,NA,NA,NA,2.231830597,0,60635,3667988
Colorado,2017,350209.1,1768221,87.89733124,1184738,2.407000065,5461.100098,2.700000048,NA,NA,NA,4.027068138,0,56047,3759410
Connecticut,1998,212255,NA,40.63063431,655418,1.069000006,NA,3.400000095,NA,NA,NA,2.888480902,0,NA,NA
Connecticut,1999,218860,NA,41.90358734,782190,1.164999962,NA,2.900000095,NA,NA,NA,3.104012728,0,NA,NA
Connecticut,2000,233874.2,NA,43.12794876,840199,1.541000009,NA,2.400000095,NA,NA,NA,6.935822487,0,NA,NA
Connecticut,2001,236338.1,NA,41.9490242,788220,1.463000059,NA,3.099999905,NA,NA,NA,1.682577968,0,2020,2125254
Connecticut,2002,234307.3,NA,40.30649567,771376,1.376999974,NA,4.300000191,NA,NA,NA,0.01109431777,0,1795,2117735
Connecticut,2003,236719.1,NA,42.97903442,819913,1.601999998,3484.336,5.400000095,NA,NA,NA,0.9858299494,0,2084,2112291
Connecticut,2004,252680.8,NA,44.96044922,865550,1.878999949,NA,5,NA,NA,NA,6.560894489,0,1906,2144332
Connecticut,2005,258203.7,NA,44.33382034,840281,2.278000116,NA,4.900000095,NA,NA,NA,2.40039444,0,1906,2171981
Connecticut,2006,269478.6,NA,41.30138016,813362,2.605000019,NA,4.300000191,NA,NA,NA,3.81602788,0,2186,2202109
Connecticut,2007,278485.4,1976809,40.45672226,801747,2.788000107,3527.27,4.5,NA,NA,NA,3.721144199,0,2775,2245721
Connecticut,2008,277793.2,2006656,37.89416504,745041,3.247999907,3383.800049,5.699999809,NA,NA,NA,-0.6161465645,0,2917,2256044
Connecticut,2009,265530.8,NA,36.08496094,761219,2.361000061,3403.199951,7.900000095,NA,NA,NA,-4.15324688,0,2834,2196162
Connecticut,2010,266773.4,1973586,36.33731842,768484,2.809999943,3463.699951,9.100000381,NA,NA,NA,-0.2957619429,0,3109,2171934
Connecticut,2011,261555.8,1699293,34.90625,755879,3.605999947,3466.399902,8.800000191,NA,NA,NA,-2.240427494,0,2655,2206270
Connecticut,2012,263649.9,1370468,34.24445724,747058,3.717000008,3479.300049,8.300000191,NA,NA,NA,0.739136517,0,3682,2223222
Connecticut,2013,258911,1457906,34.89719391,764251,3.61500001,3479,7.800000191,NA,NA,NA,-2.250174522,0,3582,2246562
Connecticut,2014,260605.8,1414217,35.1442337,755893,3.467000008,3480.399902,6.599999905,NA,NA,NA,-0.385967046,0,3306,2266030
Connecticut,2015,268869.8,1384651,36.47620773,793908,2.411000013,3478.100098,5.699999809,NA,NA,NA,3.199027061,0,3693,2288114
Connecticut,2016,268196.2,1351171,34.21435547,758788,2.148000002,3465.100098,5.099999905,NA,NA,NA,0.2697056234,0,3546,2300039
Connecticut,2017,273875.1,1301153,33.6884346,746582,2.424999952,3478.699951,4.699999809,NA,NA,NA,0.858248353,0,2819,2300326
Delaware,1998,56487,NA,15.04261494,198188,1.069000006,NA,3.700000048,NA,NA,NA,9.414926529,0,NA,NA
Delaware,1999,60866.2,NA,15.24868488,207101,1.164999962,NA,3.400000095,NA,NA,NA,7.636620522,0,NA,NA
Delaware,2000,63388.8,NA,16.05594063,208658,1.541000009,NA,3.700000048,NA,NA,NA,4.307017326,0,NA,NA
Delaware,2001,65724.8,NA,15.59538841,200213,1.463000059,NA,3.5,NA,NA,NA,4.884343147,0,1,502736
Delaware,2002,63702.5,NA,15.35749245,202995,1.376999974,NA,4,NA,NA,NA,-3.58628583,0,223,500641
Delaware,2003,64316.8,NA,15.90438747,206375,1.601999998,818.003,4.300000191,NA,NA,NA,1.79112184,0,1,504100
Delaware,2004,67735.5,NA,16.16997719,204818,1.878999949,NA,4,NA,NA,NA,4.539992332,0,217,518104
Delaware,2005,66381.2,NA,16.92337036,212417,2.278000116,NA,4.099999905,NA,NA,NA,-1.195623755,0,1,528675
Delaware,2006,68411.8,NA,15.87422752,199129,2.605000019,NA,3.599999905,NA,NA,NA,2.58015871,0,186,537110
Delaware,2007,68132.4,465445,16.6837616,210654,2.788000107,871.749,3.400000095,NA,NA,NA,-0.2216232568,0,226,544950
Delaware,2008,65771.3,454294,15.76158333,203134,3.247999907,844.2000122,4.900000095,NA,NA,NA,-4.232770443,0,1,544912
Delaware,2009,69186.2,NA,12.06106186,176790,2.361000061,855.5,8.300000191,NA,NA,NA,3.768394709,0,1,525635
Delaware,2010,68291.9,426890,11.32128716,170291,2.809999943,871.7000122,8.399999619,NA,NA,NA,-0.4443903863,0,1,522401
Delaware,2011,71103.5,485751,12.28096676,178582,3.605999947,880.0999756,7.5,NA,NA,NA,3.176783323,0,1,530401
Delaware,2012,70562.4,438074,13.4399147,197122,3.717000008,888,7.199999809,NA,NA,NA,-1.015497208,0,1,534262
Delaware,2013,68656.8,447337,13.13350773,183561,3.61500001,898.5,6.699999809,NA,NA,NA,-3.831786633,0,1,544798
Delaware,2014,73961.7,440929,12.75537968,185171,3.467000008,905.2999878,5.699999809,NA,NA,NA,7.777820587,0,1,556518
Delaware,2015,76211.2,435350,12.85136127,187657,2.411000013,918.2999878,4.900000095,NA,NA,NA,3.748074055,0,1,568953
Delaware,2016,71941.4,445444,13.34504318,194498,2.148000002,924.2999878,4.5,NA,NA,NA,-5.468456268,0,1,578699
Delaware,2017,69555.6,417700,12.43552303,180503,2.424999952,931.7000122,4.5,NA,NA,NA,-1.650368094,0,1,584835
District of Columbia,1998,88108.1,NA,4.090372086,65195,1.054999948,NA,8.399999619,NA,NA,NA,1.714642048,0,NA,NA
District of Columbia,1999,92096.8,NA,4.174034119,66772,1.149000049,NA,6.400000095,NA,NA,NA,4.306995869,0,NA,NA
District of Columbia,2000,92764.3,NA,4.306611061,69275,1.519999981,NA,5.599999905,NA,NA,NA,0.7551959157,0,NA,NA
District of Columbia,2001,96185.3,NA,4.097187519,64828,1.442000031,NA,6.300000191,NA,NA,NA,3.824215412,0,1,741794
District of Columbia,2002,99014.7,NA,4.192091465,67256,1.366000056,NA,6.400000095,NA,NA,NA,3.140073061,0,1,757416
District of Columbia,2003,100969.4,NA,3.938031435,63528,1.590999961,568.502,6.800000191,NA,NA,NA,2.100941658,0,246,754603
District of Columbia,2004,106547.2,NA,4.027634144,64261,1.881000042,NA,7.800000191,NA,NA,NA,5.118238926,0,207,763471
District of Columbia,2005,108884.1,NA,3.937605381,63067,2.295000076,NA,6.400000095,NA,NA,NA,2.149952173,0,1,769797
District of Columbia,2006,108848.3,NA,3.19854188,52414,2.618000031,NA,5.800000191,NA,NA,NA,0.3064711988,0,236,777526
District of Columbia,2007,112287.6,161267,3.391377211,56358,2.789999962,574.404,5.5,NA,NA,NA,2.70664978,0,239,788411
District of Columbia,2008,116213.7,166898,3.097141504,51913,3.270999908,558.9000244,6.5,NA,NA,NA,3.66335988,0,342,794913
District of Columbia,2009,115646,NA,3.186050653,57558,2.36500001,567.7999878,9.300000191,NA,NA,NA,-0.401758343,0,328,795913
District of Columbia,2010,120393.2,155701,3.216938734,58739,2.789999962,570.2000122,9.399999619,NA,NA,NA,3.350837231,0,467,809138
District of Columbia,2011,122636.4,223809,3.084319115,54989,3.556999922,583.9000244,10.19999981,NA,NA,NA,1.808789968,0,332,826762
District of Columbia,2012,123567.9,194711,2.657595396,48571,3.680999994,596,9,NA,NA,NA,0.6079719663,0,473,834414
District of Columbia,2013,124094.8,203652,2.828103781,51949,3.559999943,610.2999878,8.5,NA,NA,NA,0.1788473427,0,460,848227
District of Columbia,2014,126883.9,202636,3.019389868,55122,3.433000088,623.5,7.800000191,NA,NA,NA,1.77588439,0,432,860670
District of Columbia,2015,129110.2,183538,2.965875387,54771,2.440000057,634.7999878,6.900000095,NA,NA,NA,1.912819624,0,512,873233
District of Columbia,2016,132217.8,190176,2.763734818,50631,2.177000046,644.4000244,6.099999905,NA,NA,NA,2.058951616,0,554,891546
District of Columbia,2017,134298.8,191723,2.588095903,48156,2.5,657.5999756,6.099999905,NA,NA,NA,0.6621158123,0,370,902760
Florida,1998,634032.3,NA,233.488205,3581029,0.9840000272,NA,4.300000191,NA,NA,NA,5.003662586,0,NA,NA
Florida,1999,664152,NA,233.2852173,3601932,1.075999975,NA,3.900000095,NA,NA,NA,4.342907906,0,NA,NA
Florida,2000,693837.3,NA,241.154541,3708284,1.412999988,NA,3.700000048,NA,NA,NA,4.362803459,0,NA,NA
Florida,2001,714638,NA,240.3428345,3664853,1.327000022,NA,4.699999809,NA,NA,NA,2.666686535,0,13395,8938948
Florida,2002,746252.8,NA,243.7210693,3787158,1.274999976,NA,5.599999905,NA,NA,NA,4.047366142,0,12054,9055716
Florida,2003,781834.2,NA,247.7727661,3822712,1.457000017,17004.085,5.199999809,NA,NA,NA,4.37428093,0,13179,9283398
Florida,2004,833946.8,NA,259.8819885,3984913,1.858999968,NA,4.599999905,NA,NA,NA,5.961562634,0,12672,9644327
Florida,2005,883164.5,NA,262.6919556,4038199,2.302999973,NA,3.700000048,NA,NA,NA,6.497494698,0,13492,10067190
Florida,2006,909298.9,NA,261.3437195,4093739,2.579999924,NA,3.200000048,NA,NA,NA,3.424557447,0,14011,10383867
Florida,2007,922288.3,7075000,258.7313232,4051701,2.779999971,18367.842,4,NA,NA,NA,0.144133538,0,14990,10531261
Florida,2008,891766.9,8063718,240.4421082,3900983,3.262000084,17874.30078,6.300000191,NA,NA,NA,-3.833015203,0,19141,10269500
Florida,2009,840480.6,NA,225.7165222,3735621,2.349999905,18067.30078,10.39999962,NA,NA,NA,-5.497076988,0,18781,9841884
Florida,2010,851956.4,7173864,243.3588715,3942737,2.753000021,18398.80078,11.10000038,NA,NA,NA,0.9509341121,0,22591,9805155
Florida,2011,849395.3,7903519,230.0328522,3801396,3.47300005,18614.19922,10,NA,NA,NA,-0.4134590626,0,19351,10036635
Florida,2012,857861.3,7471652,224.1209259,3725339,3.546000004,18876.90039,8.5,NA,NA,NA,0.6861701608,0,26297,10249025
Florida,2013,880183.5,7309847,222.6092529,3772645,3.463000059,19093.19922,7.199999809,NA,NA,NA,2.018347502,0,27844,10539256
Florida,2014,905648.5,7426955,228.2720032,3864111,3.302000046,19431.09961,6.300000191,NA,NA,NA,2.778619289,0,26556,10937167
Florida,2015,945929,7625692,232.6145935,3984783,2.312000036,19812.5,5.5,NA,NA,NA,4.496113777,0,27385,11367161
Florida,2016,978989.7,7745321,230.0907593,3979299,2.069999933,20144,4.800000191,NA,NA,NA,3.406724691,0,27437,11673483
Florida,2017,1014866.9,7670861,228.8121185,3990987,2.329999924,20532.30078,4.199999809,NA,NA,NA,3.552423239,0,23479,12085323
Georgia,1998,377705.9,NA,159.0094299,2586385,0.9840000272,NA,4.300000191,NA,NA,NA,7.349047184,0,NA,NA
Georgia,1999,404465.2,NA,161.8676605,2619334,1.075999975,NA,3.900000095,NA,NA,NA,7.060602188,0,NA,NA
Georgia,2000,417713.5,NA,169.8335571,2734714,1.412999988,NA,3.599999905,NA,NA,NA,3.42980361,0,NA,NA
Georgia,2001,422731.6,NA,162.30336,2612505,1.327000022,NA,4,NA,NA,NA,0.9792944789,0,9721,4871815
Georgia,2002,427329.7,NA,167.2447662,2742466,1.274999976,NA,5,NA,NA,NA,1.202203393,0,8856,4858289
Georgia,2003,439074.6,NA,170.2777252,2726019,1.457000017,8622.793,4.800000191,NA,NA,NA,2.770325899,0,9179,4895248
Georgia,2004,461245.4,NA,176.0410309,2805789,1.748000026,NA,4.800000191,NA,NA,NA,4.487034798,0,8863,5021691
Georgia,2005,480838.3,NA,186.2765503,2929816,2.193000078,NA,5.300000191,NA,NA,NA,3.843846798,0,8869,5195834
Georgia,2006,487524.9,NA,183.7767944,2909736,2.480000019,NA,4.699999809,NA,NA,NA,1.16802609,0,9297,5358039
Georgia,2007,492238.7,4124835,186.2624969,2942042,2.66899991,9349.988,4.5,NA,NA,NA,0.376088798,0,9691,5490689
Georgia,2008,481860.3,4229369,173.6559448,2748853,3.134000063,9376.400391,6.199999809,NA,NA,NA,-2.298662663,0,9662,5450888
Georgia,2009,464016.8,NA,163.4605713,2654396,2.223999977,9484.799805,9.899999619,NA,NA,NA,-3.876255989,0,8912,5247023
